Result,Result Count,Machine,Materials
ENDER_BACKPACK,1,magic_workbench,"{'ENDER_LUMP_2': 4, 'Leather': 4, 'Chest': 1}"
ENDER_HELMET,1,armor_forge,"{'ENDER_LUMP_1': 2, 'Eye of Ender': 1, 'Obsidian': 2}"
ENDER_CHESTPLATE,1,armor_forge,"{'ENDER_LUMP_1': 2, 'Obsidian': 5, 'Eye of Ender': 1}"
ENDER_LEGGINGS,1,armor_forge,"{'ENDER_LUMP_1': 2, 'Eye of Ender': 1, 'Obsidian': 4}"
ENDER_BOOTS,1,armor_forge,"{'ENDER_LUMP_1': 2, 'Obsidian': 2}"
MAGIC_EYE_OF_ENDER,1,magic_workbench,"{'ENDER_LUMP_2': 4, 'Ender Pearl': 4, 'Eye of Ender': 1}"
MAGIC_SUGAR,1,enhanced_crafting_table,"{'Sugar': 1, 'Redstone Dust': 1, 'Glowstone Dust': 1}"
MONSTER_JERKY,1,enhanced_crafting_table,"{'SALT': 1, 'Rotten Flesh': 1}"
SLIME_HELMET,1,armor_forge,"{'Slimeball': 2, 'Iron Ingot': 3}"
SLIME_CHESTPLATE,1,armor_forge,"{'Slimeball': 4, 'Iron Ingot': 4}"
SLIME_LEGGINGS,1,armor_forge,"{'Slimeball': 2, 'Iron Ingot': 5}"
SLIME_BOOTS,1,armor_forge,"{'Slimeball': 2, 'Iron Ingot': 2}"
SWORD_OF_BEHEADING,1,enhanced_crafting_table,"{'Emerald': 2, 'MAGIC_LUMP_2': 2, 'Blaze Rod': 1}"
MAGICAL_BOOK_COVER,1,enhanced_crafting_table,"{'MAGIC_LUMP_2': 4, 'Book': 1}"
MAGICAL_GLASS,1,magic_workbench,"{'MAGIC_LUMP_2': 4, 'GOLD_DUST': 1, 'Flask of Knowledge': 3, 'Glass Pane': 1}"
BASIC_CIRCUIT_BOARD,1,mob_drop,{'Iron Golem': 1}
ADVANCED_CIRCUIT_BOARD,1,enhanced_crafting_table,"{'Block of Lapis Lazuli': 6, 'Block of Redstone': 2, 'BASIC_CIRCUIT_BOARD': 1}"
GOLD_PAN,1,enhanced_crafting_table,"{'Stone': 5, 'Bowl': 1}"
NETHER_GOLD_PAN,1,enhanced_crafting_table,"{'Nether Brick': 5, 'GOLD_PAN': 1}"
SIFTED_ORE,1,gold_pan,{'Gravel': 1}
MAKESHIFT_SMELTERY,1,multiblock,"{'Oak Fence': 1, 'Bricks': 2, 'Dispenser (Facing up)': 1, 'Flint and Steel': 1}"
SMELTERY,1,multiblock,"{'Nether Brick Fence': 1, 'Nether Bricks': 2, 'Dispenser (Facing up)': 1, 'Flint and Steel': 1}"
IGNITION_CHAMBER,1,enhanced_crafting_table,"{'Iron Ingot': 4, 'Flint and Steel': 1, 'BASIC_CIRCUIT_BOARD': 1, 'Observer': 1}"
PRESSURE_CHAMBER,1,multiblock,"{'Smooth Stone Slab': 2, 'Dispenser (Facing down)': 1, 'Piston': 4, 'Glass': 1, 'Cauldron': 1}"
BATTERY,1,enhanced_crafting_table,"{'Redstone Dust': 1, 'ZINC_INGOT': 2, 'SULFATE': 2, 'COPPER_INGOT': 2}"
GLOWSTONE_HELMET,1,armor_forge,{'Glowstone': 5}
GLOWSTONE_CHESTPLATE,1,armor_forge,{'Glowstone': 8}
GLOWSTONE_LEGGINGS,1,armor_forge,{'Glowstone': 7}
GLOWSTONE_BOOTS,1,armor_forge,{'Glowstone': 4}
DAMASCUS_STEEL_HELMET,1,armor_forge,{'DAMASCUS_STEEL_INGOT': 5}
DAMASCUS_STEEL_CHESTPLATE,1,armor_forge,{'DAMASCUS_STEEL_INGOT': 8}
DAMASCUS_STEEL_LEGGINGS,1,armor_forge,{'DAMASCUS_STEEL_INGOT': 7}
DAMASCUS_STEEL_BOOTS,1,armor_forge,{'DAMASCUS_STEEL_INGOT': 4}
REINFORCED_ALLOY_HELMET,1,armor_forge,{'REINFORCED_ALLOY_INGOT': 5}
REINFORCED_ALLOY_CHESTPLATE,1,armor_forge,{'REINFORCED_ALLOY_INGOT': 8}
REINFORCED_ALLOY_LEGGINGS,1,armor_forge,{'REINFORCED_ALLOY_INGOT': 7}
REINFORCED_ALLOY_BOOTS,1,armor_forge,{'REINFORCED_ALLOY_INGOT': 4}
CACTUS_HELMET,1,armor_forge,{'Cactus': 5}
CACTUS_CHESTPLATE,1,armor_forge,{'Cactus': 8}
CACTUS_LEGGINGS,1,armor_forge,{'Cactus': 7}
CACTUS_BOOTS,1,armor_forge,{'Cactus': 4}
REINFORCED_ALLOY_INGOT,1,smeltery,"{'DAMASCUS_STEEL_INGOT': 1, 'HARDENED_METAL_INGOT': 1, 'CORINTHIAN_BRONZE_INGOT': 1, 'SOLDER_INGOT': 1, 'BILLON_INGOT': 1, 'GOLD_24K': 1}"
HARDENED_METAL_INGOT,1,smeltery,"{'DAMASCUS_STEEL_INGOT': 1, 'DURALUMIN_INGOT': 1, 'COMPRESSED_CARBON': 1, 'ALUMINUM_BRONZE_INGOT': 1}"
DAMASCUS_STEEL_INGOT,1,smeltery,"{'STEEL_INGOT': 1, 'IRON_DUST': 1, 'CARBON': 1, 'Iron Ingot': 1}"
STEEL_INGOT,1,smeltery,"{'IRON_DUST': 1, 'CARBON': 1, 'Iron Ingot': 1}"
BRONZE_INGOT,1,smeltery,"{'COPPER_DUST': 1, 'TIN_DUST': 1, 'COPPER_INGOT': 1}"
DURALUMIN_INGOT,1,smeltery,"{'ALUMINUM_DUST': 1, 'COPPER_DUST': 1, 'ALUMINUM_INGOT': 1}"
BILLON_INGOT,1,smeltery,"{'SILVER_DUST': 1, 'COPPER_DUST': 1, 'SILVER_INGOT': 1}"
BRASS_INGOT,1,smeltery,"{'COPPER_DUST': 1, 'ZINC_DUST': 1, 'COPPER_INGOT': 1}"
ALUMINUM_BRASS_INGOT,1,smeltery,"{'ALUMINUM_DUST': 1, 'BRASS_INGOT': 1, 'ALUMINUM_INGOT': 1}"
ALUMINUM_BRONZE_INGOT,1,smeltery,"{'ALUMINUM_DUST': 1, 'BRONZE_INGOT': 1, 'ALUMINUM_INGOT': 1}"
CORINTHIAN_BRONZE_INGOT,1,smeltery,"{'SILVER_DUST': 1, 'GOLD_DUST': 1, 'COPPER_DUST': 1, 'BRONZE_INGOT': 1}"
SOLDER_INGOT,1,smeltery,"{'LEAD_DUST': 1, 'TIN_DUST': 1, 'LEAD_INGOT': 1}"
SYNTHETIC_SAPPHIRE,1,smeltery,"{'ALUMINUM_DUST': 1, 'Glass': 1, 'Glass Pane': 1, 'ALUMINUM_INGOT': 1, 'Lapis Lazuli': 1}"
SYNTHETIC_DIAMOND,1,pressure_chamber,{'CARBON_CHUNK': 1}
RAW_CARBONADO,1,smeltery,"{'SYNTHETIC_DIAMOND': 1, 'CARBON_CHUNK': 1, 'Glass Pane': 1}"
NICKEL_INGOT,1,smeltery,"{'IRON_DUST': 1, 'Iron Ingot': 1, 'COPPER_DUST': 1}"
COBALT_INGOT,1,smeltery,"{'IRON_DUST': 1, 'COPPER_DUST': 1, 'NICKEL_INGOT': 1}"
CARBONADO,1,pressure_chamber,{'RAW_CARBONADO': 1}
FERROSILICON,1,smeltery,"{'Iron Ingot': 1, 'IRON_DUST': 1, 'SILICON': 1}"
IRON_DUST,2,ore_crusher,{'Iron Ore': 1}
GOLD_DUST,2,ore_crusher,{'Gold Ore': 1}
COPPER_DUST,1,ore_washer,{'SIFTED_ORE': 1}
TIN_DUST,1,ore_washer,{'SIFTED_ORE': 1}
LEAD_DUST,1,ore_washer,{'SIFTED_ORE': 1}
SILVER_DUST,1,ore_washer,{'SIFTED_ORE': 1}
ALUMINUM_DUST,1,ore_washer,{'SIFTED_ORE': 1}
ZINC_DUST,1,ore_washer,{'SIFTED_ORE': 1}
MAGNESIUM_DUST,1,ore_washer,{'SIFTED_ORE': 1}
COPPER_INGOT,1,smeltery,{'COPPER_DUST': 1}
TIN_INGOT,1,smeltery,{'TIN_DUST': 1}
SILVER_INGOT,1,smeltery,{'SILVER_DUST': 1}
LEAD_INGOT,1,smeltery,{'LEAD_DUST': 1}
ALUMINUM_INGOT,1,smeltery,{'ALUMINUM_DUST': 1}
ZINC_INGOT,1,smeltery,{'ZINC_DUST': 1}
MAGNESIUM_INGOT,1,smeltery,{'MAGNESIUM_DUST': 1}
SULFATE,1,ore_crusher,{'Netherrack': 16}
CARBON,1,compressor,{'Coal': 8}
CARBON,4,grind_stone,{'Diamond': 1}
WHEAT_FLOUR,1,grind_stone,{'Wheat': 1}
STEEL_PLATE,1,compressor,{'STEEL_INGOT': 8}
COMPRESSED_CARBON,1,compressor,{'CARBON': 4}
CARBON_CHUNK,1,enhanced_crafting_table,"{'COMPRESSED_CARBON': 8, 'Flint': 1}"
STEEL_THRUSTER,1,enhanced_crafting_table,"{'Redstone Dust': 1, 'ALUMINUM_BRONZE_INGOT': 3, 'STEEL_PLATE': 2, 'Fire Charge': 1}"
POWER_CRYSTAL,1,enhanced_crafting_table,"{'Redstone Dust': 4, 'SYNTHETIC_SAPPHIRE': 4, 'SYNTHETIC_DIAMOND': 1}"
DURALUMIN_JETPACK,1,enhanced_crafting_table,"{'DURALUMIN_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'SMALL_CAPACITOR': 1}"
SOLDER_JETPACK,1,enhanced_crafting_table,"{'SOLDER_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'SMALL_CAPACITOR': 1}"
BILLON_JETPACK,1,enhanced_crafting_table,"{'BILLON_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'SMALL_CAPACITOR': 1}"
STEEL_JETPACK,1,enhanced_crafting_table,"{'STEEL_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'SMALL_CAPACITOR': 1}"
DAMASCUS_STEEL_JETPACK,1,enhanced_crafting_table,"{'DAMASCUS_STEEL_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'SMALL_CAPACITOR': 1}"
REINFORCED_ALLOY_JETPACK,1,enhanced_crafting_table,"{'REINFORCED_ALLOY_INGOT': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'MEDIUM_CAPACITOR': 1}"
CARBONADO_JETPACK,1,enhanced_crafting_table,"{'CARBON_CHUNK': 2, 'CARBONADO': 2, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'LARGE_CAPACITOR': 1}"
ARMORED_JETPACK,1,enhanced_crafting_table,"{'STEEL_PLATE': 4, 'POWER_CRYSTAL': 1, 'STEEL_THRUSTER': 2, 'MEDIUM_CAPACITOR': 1}"
PARACHUTE,1,enhanced_crafting_table,"{'CLOTH': 3, 'CHAIN': 2}"
HOLOGRAM_PROJECTOR,3,enhanced_crafting_table,"{'POWER_CRYSTAL': 1, 'ALUMINUM_BRASS_INGOT': 3, 'ELECTRIC_MOTOR': 1}"
CHAIN,8,enhanced_crafting_table,{'STEEL_INGOT': 3}
HOOK,1,enhanced_crafting_table,{'STEEL_INGOT': 3}
GRAPPLING_HOOK,1,enhanced_crafting_table,"{'HOOK': 1, 'CHAIN': 2}"
MAGIC_WORKBENCH,1,multiblock,"{'Bookshelf': 1, 'Crafting Table': 1, 'Dispenser': 1}"
STAFF_ELEMENTAL,1,magic_workbench,"{'MAGICAL_BOOK_COVER': 2, 'MAGIC_LUMP_3': 2, 'Stick': 1}"
STAFF_ELEMENTAL_WIND,1,magic_workbench,"{'Feather': 2, 'ENDER_LUMP_3': 1, 'STAFF_ELEMENTAL': 2}"
STAFF_ELEMENTAL_WATER,1,magic_workbench,"{'Lily Pad': 2, 'MAGIC_LUMP_2': 1, 'STAFF_ELEMENTAL': 2}"
DURALUMIN_MULTI_TOOL,1,enhanced_crafting_table,"{'DURALUMIN_INGOT': 5, 'SMALL_CAPACITOR': 1}"
SOLDER_MULTI_TOOL,1,enhanced_crafting_table,"{'SOLDER_INGOT': 5, 'SMALL_CAPACITOR': 1}"
BILLON_MULTI_TOOL,1,enhanced_crafting_table,"{'BILLON_INGOT': 5, 'SMALL_CAPACITOR': 1}"
STEEL_MULTI_TOOL,1,enhanced_crafting_table,"{'STEEL_INGOT': 5, 'SMALL_CAPACITOR': 1}"
DAMASCUS_STEEL_MULTI_TOOL,1,enhanced_crafting_table,"{'DAMASCUS_STEEL_INGOT': 5, 'SMALL_CAPACITOR': 1}"
REINFORCED_ALLOY_MULTI_TOOL,1,enhanced_crafting_table,"{'REINFORCED_ALLOY_INGOT': 5, 'MEDIUM_CAPACITOR': 1}"
CARBONADO_MULTI_TOOL,1,enhanced_crafting_table,"{'CARBONADO': 5, 'LARGE_CAPACITOR': 1}"
ORE_WASHER,1,multiblock,"{'Dispenser': 1, 'Oak Fence': 1, 'Cauldron': 1}"
GOLD_24K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_22K': 1}"
GOLD_22K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_20K': 1}"
GOLD_20K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_18K': 1}"
GOLD_18K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_16K': 1}"
GOLD_16K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_14K': 1}"
GOLD_14K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_12K': 1}"
GOLD_12K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_10K': 1}"
GOLD_10K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_8K': 1}"
GOLD_8K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_6K': 1}"
GOLD_6K,1,smeltery,"{'GOLD_DUST': 1, 'GOLD_4K': 1}"
GOLD_4K,1,smeltery,{'GOLD_DUST': 1}
STONE_CHUNK,1,ore_washer,{'SIFTED_ORE': 1}
SILICON,1,smeltery,{'Block of Quartz': 1}
SOLAR_PANEL,1,enhanced_crafting_table,"{'Glass': 3, 'SILICON': 3, 'FERROSILICON': 3}"
SOLAR_HELMET,1,enhanced_crafting_table,"{'REINFORCED_ALLOY_INGOT': 4, 'SOLAR_PANEL': 1, 'MEDIUM_CAPACITOR': 2}"
LAVA_CRYSTAL,1,enhanced_crafting_table,"{'MAGIC_LUMP_1': 4, 'Blaze Powder': 4, 'ANCIENT_RUNE_FIRE': 1}"
STAFF_ELEMENTAL_FIRE,1,magic_workbench,"{'LAVA_CRYSTAL': 1, 'STAFF_ELEMENTAL': 2}"
STAFF_ELEMENTAL_STORM,1,ancient_altar,"{'ANCIENT_RUNE_LIGHTNING': 4, 'ENDER_LUMP_3': 2, 'STAFF_ELEMENTAL_WATER': 1, 'MAGIC_SUGAR': 1, 'STAFF_ELEMENTAL_WIND': 1}"
MAGICAL_ZOMBIE_PILLS,2,magic_workbench,"{'Gold Ingot': 4, 'MAGIC_LUMP_2': 2, 'Apple': 2, 'Potion of Weakness': 1}"
SMELTERS_PICKAXE,1,enhanced_crafting_table,"{'LAVA_CRYSTAL': 3, 'FERROSILICON': 2}"
COMMON_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_2': 4, 'GOLD_8K': 2, 'Emerald': 1}"
ANVIL_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'Anvil': 2, 'COMMON_TALISMAN': 1}"
ENDER_ANVIL_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'ANVIL_TALISMAN': 1}"
MINER_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'SYNTHETIC_SAPPHIRE': 1, 'COMMON_TALISMAN': 1, 'SIFTED_ORE': 1}"
ENDER_MINER_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'MINER_TALISMAN': 1}"
FARMER_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'Diamond Hoe': 2, 'COMMON_TALISMAN': 1}"
ENDER_FARMER_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'FARMER_TALISMAN': 1}"
HUNTER_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'SYNTHETIC_SAPPHIRE': 1, 'COMMON_TALISMAN': 1, 'MONSTER_JERKY': 1}"
ENDER_HUNTER_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'HUNTER_TALISMAN': 1}"
LAVA_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'LAVA_CRYSTAL': 1, 'COMMON_TALISMAN': 1, 'Lava Bucket': 1}"
ENDER_LAVA_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'LAVA_TALISMAN': 1}"
WATER_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'Water Bucket': 1, 'COMMON_TALISMAN': 1, 'Fishing Rod': 1}"
ENDER_WATER_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'WATER_TALISMAN': 1}"
ANGEL_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'Feather': 2, 'COMMON_TALISMAN': 1}"
ENDER_ANGEL_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'ANGEL_TALISMAN': 1}"
FIRE_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'LAVA_CRYSTAL': 2, 'COMMON_TALISMAN': 1}"
ENDER_FIRE_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'FIRE_TALISMAN': 1}"
MAGICIAN_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'Enchanting Table': 2, 'COMMON_TALISMAN': 1}"
ENDER_MAGICIAN_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'MAGICIAN_TALISMAN': 1}"
TRAVELLER_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'STAFF_ELEMENTAL_WIND': 2, 'ANGEL_TALISMAN': 1}"
ENDER_TRAVELLER_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'TRAVELLER_TALISMAN': 1}"
WARRIOR_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'REINFORCED_ALLOY_INGOT': 2, 'COMMON_TALISMAN': 1}"
ENDER_WARRIOR_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'WARRIOR_TALISMAN': 1}"
KNIGHT_TALISMAN,4,magic_workbench,"{'MAGIC_LUMP_3': 4, 'GILDED_IRON': 2, 'WARRIOR_TALISMAN': 1}"
ENDER_KNIGHT_TALISMAN,4,magic_workbench,"{'ENDER_LUMP_3': 4, 'KNIGHT_TALISMAN': 1}"
CAVEMAN_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'Golden Pickaxe': 1, 'MINER_TALISMAN': 1, 'ANCIENT_RUNE_EARTH': 1}"
ENDER_CAVEMAN_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'CAVEMAN_TALISMAN': 1}"
WISE_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'MAGICAL_GLASS': 2, 'Flask of Knowledge': 2, 'MAGICIAN_TALISMAN': 1}"
ENDER_WISE_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'WISE_TALISMAN': 1}"
GILDED_IRON,1,smeltery,"{'GOLD_24K': 1, 'IRON_DUST': 1}"
SYNTHETIC_EMERALD,1,smeltery,"{'SYNTHETIC_SAPPHIRE': 1, 'ALUMINUM_DUST': 1, 'ALUMINUM_INGOT': 1, 'Glass Pane': 1}"
CHAIN_HELMET,1,armor_forge,{'CHAIN': 5}
CHAIN_CHESTPLATE,1,armor_forge,{'CHAIN': 8}
CHAIN_LEGGINGS,1,armor_forge,{'CHAIN': 7}
CHAIN_BOOTS,1,armor_forge,{'CHAIN': 4}
WHIRLWIND_TALISMAN,1,magic_workbench,"{'MAGIC_LUMP_3': 4, 'STAFF_ELEMENTAL_WIND': 2, 'TRAVELLER_TALISMAN': 1}"
ENDER_WHIRLWIND_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'WHIRLWIND_TALISMAN': 1}"
WIZARD_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'MAGIC_EYE_OF_ENDER': 2, 'MAGICIAN_TALISMAN': 1}"
ENDER_WIZARD_TALISMAN,1,magic_workbench,"{'ENDER_LUMP_3': 4, 'WIZARD_TALISMAN': 1}"
LUMBER_AXE,1,magic_workbench,"{'SYNTHETIC_DIAMOND': 2, 'SYNTHETIC_EMERALD': 1, 'GILDED_IRON': 2}"
SALT,1,ore_washer,{'Sand': 2}
HEAVY_CREAM,2,enhanced_crafting_table,{'Milk Bucket': 1}
CHEESE,1,enhanced_crafting_table,"{'Milk Bucket': 1, 'SALT': 1}"
BUTTER,1,enhanced_crafting_table,"{'HEAVY_CREAM': 1, 'SALT': 1}"
GILDED_IRON_HELMET,1,armor_forge,{'GILDED_IRON': 5}
GILDED_IRON_CHESTPLATE,1,armor_forge,{'GILDED_IRON': 8}
GILDED_IRON_LEGGINGS,1,armor_forge,{'GILDED_IRON': 7}
GILDED_IRON_BOOTS,1,armor_forge,{'GILDED_IRON': 4}
REINFORCED_CLOTH,2,enhanced_crafting_table,"{'CLOTH': 4, 'LEAD_INGOT': 1}"
SCUBA_HELMET,1,armor_forge,"{'Orange Wool': 2, 'REINFORCED_CLOTH': 3, 'Glass Pane': 1}"
HAZMAT_CHESTPLATE,1,armor_forge,"{'Orange Wool': 2, 'REINFORCED_CLOTH': 4, 'Black Wool': 2}"
HAZMAT_LEGGINGS,1,armor_forge,"{'Black Wool': 2, 'REINFORCED_CLOTH': 5}"
RUBBER_BOOTS,1,armor_forge,"{'REINFORCED_CLOTH': 4, 'Black Wool': 2}"
CRUSHED_ORE,1,ore_crusher,{'SIFTED_ORE': 1}
PULVERIZED_ORE,1,ore_crusher,{'CRUSHED_ORE': 1}
PURE_ORE_CLUSTER,1,ore_washer,{'PULVERIZED_ORE': 1}
TINY_URANIUM,1,ore_crusher,{'PURE_ORE_CLUSTER': 1}
SMALL_URANIUM,1,enhanced_crafting_table,{'TINY_URANIUM': 9}
URANIUM,1,enhanced_crafting_table,{'SMALL_URANIUM': 4}
REDSTONE_ALLOY,1,smeltery,"{'Redstone Dust': 1, 'Block of Redstone': 1, 'FERROSILICON': 1, 'HARDENED_METAL_INGOT': 1}"
GOLD_12K_HELMET,1,armor_forge,{'GOLD_12K': 5}
GOLD_12K_CHESTPLATE,1,armor_forge,{'GOLD_12K': 8}
GOLD_12K_LEGGINGS,1,armor_forge,{'GOLD_12K': 7}
GOLD_12K_BOOTS,1,armor_forge,{'GOLD_12K': 4}
CLOTH,8,enhanced_crafting_table,{'White Wool': 1}
RAG,2,enhanced_crafting_table,"{'CLOTH': 6, 'String': 2}"
BANDAGE,4,enhanced_crafting_table,"{'RAG': 2, 'String': 1}"
SPLINT,4,enhanced_crafting_table,"{'Iron Ingot': 2, 'Stick': 3}"
CAN,8,enhanced_crafting_table,{'TIN_INGOT': 8}
VITAMINS,1,enhanced_crafting_table,"{'CAN': 1, 'Apple': 1, 'Red Mushroom': 1, 'Sugar': 1}"
MEDICINE,1,enhanced_crafting_table,"{'VITAMINS': 1, 'Glass Bottle': 1, 'HEAVY_CREAM': 1}"
NIGHT_VISION_GOGGLES,1,armor_forge,"{'Block of Coal': 6, 'Lime Stained Glass Pane': 2}"
PICKAXE_OF_CONTAINMENT,1,magic_workbench,"{'FERROSILICON': 3, 'GILDED_IRON': 2}"
HERCULES_PICKAXE,1,magic_workbench,"{'HARDENED_METAL_INGOT': 3, 'FERROSILICON': 2}"
TABLE_SAW,1,multiblock,"{'Smooth Stone Slab': 2, 'Stonecutter': 1, 'Block of Iron': 1}"
SLIME_STEEL_HELMET,1,armor_forge,"{'Slimeball': 4, 'STEEL_PLATE': 1}"
SLIME_STEEL_CHESTPLATE,1,armor_forge,"{'Slimeball': 7, 'STEEL_PLATE': 1}"
SLIME_STEEL_LEGGINGS,1,armor_forge,"{'Slimeball': 6, 'STEEL_PLATE': 1}"
SLIME_STEEL_BOOTS,1,armor_forge,"{'Slimeball': 4, 'STEEL_PLATE': 1}"
BLADE_OF_VAMPIRES,1,magic_workbench,"{'Wither Skeleton Skull': 2, 'Blaze Rod': 1}"
GOLD_24K_BLOCK,1,enhanced_crafting_table,{'GOLD_24K': 9}
COMPOSTER,1,enhanced_crafting_table,"{'Oak Slab': 6, 'Cauldron': 1}"
FARMER_SHOES,1,armor_forge,{'Hay Bale': 4}
EXPLOSIVE_PICKAXE,1,magic_workbench,"{'TNT': 2, 'SYNTHETIC_DIAMOND': 1, 'FERROSILICON': 2}"
EXPLOSIVE_SHOVEL,1,magic_workbench,"{'SYNTHETIC_DIAMOND': 1, 'TNT': 1, 'FERROSILICON': 1}"
AUTOMATED_PANNING_MACHINE,1,multiblock,"{'Oak Trapdoor': 1, 'Cauldron': 1}"
INDUSTRIAL_MINER,1,multiblock,"{'Piston (facing up)': 2, 'Chest': 1, 'Block of Iron': 2, 'Blast Furnace': 1}"
ADVANCED_INDUSTRIAL_MINER,1,multiblock,"{'Piston (facing up)': 2, 'Chest': 1, 'Block of Diamond': 2, 'Blast Furnace': 1}"
BOOTS_OF_THE_STOMPER,1,armor_forge,"{'Yellow Wool': 2, 'Piston': 2}"
